second,is_mode_a,is_mode_b,is_mode_c,mean velocity (m/s),mean wheel speed (rev/min),net rolling energy (J),net aero energy (J),braked energy (J),total energy (J),gross rolling energy (J),gross aero energy (J),inertia energy (J),cumulative rr (J),cumulative aero (J),cumulative braking (J)
27,0,0,1,17.7698755397511,452.506547060592,0,0,-9565.78928521339,0,2230.41791414783,2184.9882469006,-13981.1954462618,32600.5737891796,28110.9245884084,-50575.0539170951
28,0,0,1,17.3451866903734,441.691925181157,0,0,-5715.97466216389,0,2177.11232877826,2032.04294964035,-9925.12994058249,34777.6861179578,30142.9675380487,-56291.0285792589
29,0,1,0,17.1663703327407,437.138400179289,2154.66787178054,1969.84193801394,0,4124.50980979449,2154.66787178054,1969.84193801394,0,36932.3539897384,32112.8094760627,-56291.0285792589
30,1,0,0,17.3451866903734,441.691925181157,2177.11232877826,2032.04294964035,0,14134.2852190011,2177.11232877826,2032.04294964035,9925.12994058249,39109.4663185166,34144.852425703,-56291.0285792589
31,0,0,1,17.4345948691897,443.968687682091,0,0,-736.182096285058,0,2188.33455727711,2063.6285485347,-4988.14520209687,41297.8008757938,36208.4809742377,-57027.210675544
32,0,1,0,17.3451866903734,441.691925181157,2177.11232877826,2032.04294964035,0,4209.1552784186,2177.11232877826,2032.04294964035,0,43474.913204572,38240.5239238781,-57027.210675544
33,0,0,1,16.8310896621793,428.600540800788,0,0,-23719.7565095026,0,2112.58451490983,1856.66114068871,-27689.0021651011,45587.4977194818,40097.1850645668,-80746.9671850466
34,0,0,1,15.3782067564135,391.603150160613,0,0,-42851.5130221189,0,1930.2233018034,1416.16231703627,-46197.8986409586,47517.7210212853,41513.347381603,-123598.480207166
35,0,0,1,13.3888747777496,340.945184514836,0,0,-42394.8827230083,0,1680.52871770384,934.605185772762,-45010.0166264849,49198.2497389891,42447.9525673758,-165993.362930174
36,0,0,1,11.1536703073406,284.026121991491,0,0,-40342.2335040214,0,1399.97300523241,540.317900956334,-42282.5244102101,50598.2227442215,42988.2704683321,-206335.596434195
37,0,0,1,8.8514097028194,225.399487592446,0,0,-30274.4930185976,0,1111.00062138684,270.043219476345,-31655.5368594608,51709.2233656083,43258.3136878085,-236610.089452793
38,0,0,1,6.43738887477775,163.926900067233,0,0,-25793.8831697047,0,808.000451917704,103.878383449954,-26705.7620050724,52517.223817526,43362.1920712584,-262403.972622497
39,0,0,1,3.86690373380747,98.4699781653868,0,0,-15257.5395023089,0,485.361382575565,22.5157298197741,-15765.4166147042,53002.5852001016,43384.7078010782,-277661.512124806
40,0,0,1,1.56464312928626,39.8433437663415,0,0,-4950.14108833572,0,196.388998729997,1.49156381628863,-5148.02165088201,53198.9741988316,43386.1993648945,-282611.653213142
41,0,0,1,0.268224536449073,6.8302875028014,0,0,-196.547886403398,0,33.666685496571,0.00751435065465525,-230.222086250624,53232.6408843282,43386.2068792452,-282808.201099545
42,0,1,0,0,0,0,0,0,0,0,0,0,53232.6408843282,43386.2068792452,-282808.201099545
43,0,1,0,0,0,0,0,0,0,0,0,0,53232.6408843282,43386.2068792452,-282808.201099545
44,0,1,0,0,0,0,0,0,0,0,0,0,53232.6408843282,43386.2068792452,-282808.201099545
45,0,1,0,0,0,0,0,0,0,0,0,0,53232.6408843282,43386.2068792452,-282808.201099545
46,0,1,0,0,0,0,0,0,0,0,0,0,53232.6408843282,43386.2068792452,-282808.201099545
47,0,1,0,0,0,0,0,0,0,0,0,0,53232.6408843282,43386.2068792452,-282808.201099545
48,0,1,0,0,0,0,0,0,0,0,0,0,53232.6408843282,43386.2068792452,-282808.201099545
49,1,0,0,0.178816357632715,4.5535250018676,22.444456997714,0.002226474268046,0,124.767610694482,22.444456997714,0.002226474268046,102.3209272225,53255.0853413259,43386.2091057194,-282808.201099545
50,1,0,0,2.23520447040894,56.919062523345,280.555712471425,4.34858255477734,0,13714.5259929793,280.555712471425,4.34858255477734,13429.6216979531,53535.6410537973,43390.5576882742,-282808.201099545
51,1,0,0,5.38684277368555,137.174940681261,676.139267056134,60.8693756307295,0,22699.2364123037,676.139267056134,60.8693756307295,21962.2277696168,54211.7803208534,43451.4270639049,-282808.201099545
52,1,0,0,7.3985267970536,188.402096952272,928.639408280417,157.700002636991,0,18549.64391172,928.639408280417,157.700002636991,17463.3045008026,55140.4197291339,43609.1270665419,-282808.201099545
